time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
2021-07-15T11:12:09.170Z,39.8665,143.5958,11.74,4.6,mb,5.41464,117,2.143,0.58,us
2021-07-13T23:58:49.210Z,31.1049,141.5498,19.28,4.5,mb,5.3665,104,2.487,0.7,us
2021-07-12T13:48:29.406Z,32.0222,141.8193,10,4.7,mb,5.46506,128,2.013,0.65,us
2021-07-09T23:28:23.515Z,37.0674,143.8249,10,4.4,mb,5.32064,128,4.294,0.95,us
2021-07-09T20:23:44.792Z,37.2826,143.7541,19.07,5.3,mww,5.3,84,4.08,0.75,us
2021-07-09T16:26:12.041Z,40.5044,141.8752,66.39,4.3,mb,5.27706,134,0.679,0.8,us
2021-07-09T07:47:14.982Z,43.3356,144.2396,144.6,4.1,mb,5.19674,165,1.427,0.45,us
2021-07-08T11:17:27.109Z,31.9596,143.6793,10,5.2,mb,5.75136,36,3.462,0.65,us
2021-07-07T19:03:53.981Z,31.9552,141.6984,10,4.2,mb,5.23576,178,1.967,0.52,us
2021-07-07T17:02:32.572Z,37.206,134.9975,370.11,4.6,mb,5.41464,28,2.474,0.82,us
2021-07-07T16:24:35.799Z,33.6982,132.2509,52.54,4.5,mb,5.3665,78,1.355,0.94,us
2021-07-07T01:51:20.101Z,43.1623,144.1745,102.65,4.2,mb,5.23576,142,1.37,0.74,us
2021-07-06T14:19:00.804Z,30.3622,138.6493,443.14,4.1,mb,5.19674,102,2.918,0.61,us
2021-07-06T06:29:46.952Z,44.7187,141.9308,242.35,4.5,mb,5.3665,81,0.764,0.86,us
2021-07-04T16:22:41.468Z,40.4367,144.9976,10,4.3,mb,5.27706,137,2.1,0.67,us
2021-07-04T06:35:22.667Z,36.6471,141.0365,51.3,4.4,mb,5.32064,126,2.277,0.71,us
2021-07-03T19:06:08.822Z,38.6358,141.7642,70.23,4.2,mb,5.23576,154,2.217,0.56,us
2021-07-03T17:19:53.847Z,41.9113,142.5143,55.49,4.4,mb,5.32064,108,0.49,0.99,us
2021-07-03T16:24:01.943Z,39.7542,142.049,59.74,4.3,mb,5.27706,188,1.279,0.59,us
2021-07-02T01:48:08.389Z,41.4989,142.1589,62.09,4.2,mb,5.23576,103,0.907,0.94,us
2021-06-30T21:44:01.449Z,39.2381,142.2479,52.94,4.4,mb,5.32064,135,1.796,0.96,us
2021-06-30T13:18:09.474Z,39.5924,140.4231,135.56,4.5,mb,5.3665,89,1.292,0.55,us
